parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,
c4,-2.862762696,0.38673995563739555,0.1836450633835633,7.367121043,21.024628850939674,1.4121149289074117,0.012523941709145897,-2.86
k1[1],-40.37841073,16.45296260203081,9.636407263744406,4.301418362862179,12.739052214515223,1.189095571,0.007312315,-40.38
k1[2],-34.25600762,14.155470603415758,11.338478626997066,1.4086529347732157,12.739052214515223,2.107770430171799,0.002394679,-34.26
k1[3],-33.8576893,12.525297073441315,10.33627287485812,1.3950972661132075,12.739052214515223,2.1312621762061728,0.002371634,-33.86
k1[4],-33.51639474,11.116305611138987,9.518680088361009,1.416512841663247,21.024628850939674,2.131262176206173,0.00240804,-33.52
k1[5],-33.24182031,10.267378715080163,8.892724383273519,1.4068972503503991,12.73905221451524,2.1312621762061728,0.002391694,-33.24
k1[6],-33.75719038,9.508655449768053,8.147303557018468,1.4177247549413008,16.40266191770552,2.1312621762061728,0.002410101,-33.76
k1[7],-34.70621074,8.615356695,7.082126017899668,1.563828755,16.40266191770552,1.8227176166668266,0.002658474,-34.71
k1[8],-36.51103551,7.49626972,5.562543511949069,1.758089249917265,16.242806757007624,1.6396683137848918,0.002988713,-36.51
k1[9],-38.76844639,6.359597164031094,3.7935766974128775,5.002302253494921,12.73905221451524,1.1977709355727757,0.008503802,-38.77
k1[10],-41.72823135,5.031944283764408,2.222451605325338,5.996068520039259,16.40266191770552,1.2946841379750056,0.010193183,-41.73
k1[11],-45.93870216,3.4574762098104683,1.3880125918614326,6.2600076422455215,21.024628850939674,1.3846018531234223,0.010641873583273445,-45.94
k1[12],-49.06961848,3.1357197694124794,2.0458834409465863,3.014239696308453,21.024628850939674,1.2820789701736939,0.00512414,-49.07
k1[13],-51.91373997,4.2956285261246405,3.485889413772987,1.421754156347565,14.564780577121967,2.1312621762061728,0.00241695,-51.91
k1[14],-54.7355041,5.972619678941853,4.969016186707116,1.4043348436369902,12.739052214515215,2.1312621762061728,0.002387338,-54.74
k1[15],-57.57675476,7.504557145396377,6.3222893403403315,1.4096359640880487,13.072104662206115,2.1312621762061728,0.00239635,-57.58
k1[16],-60.71477855,9.336155051120762,7.7403540999264235,1.4095209065868717,12.739052214515215,2.1312621762061728,0.002396154,-60.71
k1[17],-64.82197059,10.702905739662391,8.692097164551258,1.406576674693535,25.99524658348188,2.1312621762061728,0.002391149,-64.82
k1[18],-68.74439272,12.140899129589169,9.696600006,1.4009268880060326,13.004108236642898,2.1282887452484065,0.002381545,-68.74
k1[19],-73.40368507,13.164162571764404,10.175505999580489,1.3962300932061427,15.30790763,2.1282887452484065,0.00237356,-73.40
k1[20],-76.34212642,14.669494268085117,11.302509158124863,1.395862943296891,12.73905221451524,2.1282887452484065,0.002372936,-76.34
k1[21],-80.54073232,15.780150852322958,12.033444245498329,1.3942879736814122,12.73905221451524,2.1312621762061728,0.002370259,-80.54
k2[1],-3.928826725,1.484619707775965,0.5601693204630916,9.008538677066207,17.35938894950899,1.0050487707061155,0.015314315133484302,-3.93
k2[2],-3.908593265,1.313942187945306,0.4930453325651332,10.162046775308605,21.024628850939674,1.0087225335180903,0.017275253212207548,-3.91
k2[3],-4.115597799,1.0334097308529482,0.3857412865522965,10.664350787624349,31.783999605447406,1.0306225306913737,0.018129158846980496,-4.12
