"model","year","age_group","education","n_observations","mse","rmse"
"Model B",2014,"30-34","Post Secondary",1,3.97422181644619e-07,0.000630414293655068
"Model B",2014,"30-34","Primary",1,2.84651526327138e-06,0.00168716189598728
"Model B",2014,"30-34","Secondary",1,1.10089030227617e-05,0.00331796670006823
"Model B",2014,"35-39","No Formal Education",1,1.7798903764016e-05,0.00421887470352178
"Model B",2014,"35-39","Post Secondary",1,0.00165281891517739,0.0406548756630418
"Model B",2014,"35-39","Primary",1,0.00117112105447712,0.034221645993101
"Model B",2014,"35-39","Secondary",1,0.00309263999991709,0.0556115095993365
"Model B",2014,"40-44","No Formal Education",1,0.0235072544877771,0.153320756871916
"Model B",2014,"40-44","Post Secondary",1,0.0398932959172735,0.199733061652981
"Model B",2014,"40-44","Primary",1,0.0590808382464125,0.243065501966882
"Model B",2014,"40-44","Secondary",1,0.00126749453925322,0.0356018895461072
"Model B",2015,"15-19","No Formal Education",1,8.72003459359064e-07,0.000933811254675732
"Model B",2015,"15-19","Post Secondary",1,2.36320231660448e-09,4.86127793548619e-05
"Model B",2015,"15-19","Primary",1,9.5386257385259e-09,9.76658883056203e-05
"Model B",2015,"15-19","Secondary",1,6.63612887676892e-09,8.14624384410934e-05
"Model B",2015,"20-24","No Formal Education",1,6.9894175130456e-06,0.00264375065258537
"Model B",2015,"20-24","Post Secondary",1,5.08987967112441e-08,0.000225607616695989
"Model B",2015,"20-24","Primary",1,3.84133679529925e-07,0.000619785188214372
"Model B",2015,"20-24","Secondary",1,2.54052163773883e-10,1.5939013889632e-05
"Model B",2015,"25-29","No Formal Education",1,5.66629488557547e-05,0.00752747958188893
"Model B",2015,"25-29","Post Secondary",1,8.42789193287674e-09,9.18035507639914e-05
"Model B",2015,"25-29","Primary",1,3.32341926601737e-08,0.000182302475737917
"Model B",2015,"25-29","Secondary",1,4.12771451739932e-08,0.000203167775924218
"Model B",2015,"30-34","No Formal Education",1,8.98363800830781e-05,0.00947820553074674
"Model B",2015,"30-34","Post Secondary",1,3.4184528532862e-09,5.84675367472087e-05
"Model B",2015,"30-34","Primary",1,4.54521226116235e-06,0.00213195034209579
"Model B",2015,"30-34","Secondary",1,1.31330043153069e-05,0.00362394871863647
"Model B",2015,"35-39","No Formal Education",1,0.00285750022076434,0.0534555911085486
"Model B",2015,"35-39","Post Secondary",1,4.9936211763597e-05,0.00706655586290783
"Model B",2015,"35-39","Primary",1,0.00140773639079555,0.0375198133097108
"Model B",2015,"35-39","Secondary",1,0.00139270581149236,0.0373189738804856
"Model B",2015,"40-44","No Formal Education",1,0.0196761808721397,0.140271810682473
"Model B",2015,"40-44","Post Secondary",1,0.0362060592828023,0.190278898679812
"Model B",2015,"40-44","Primary",1,0.024923622313744,0.157872170802026
"Model B",2015,"40-44","Secondary",1,0.141749394356472,0.376496207625618
