"model","year","age_group","sex","education","n_observations","mse","rmse","grouping","sqrt_mse","diff","within_tolerance"
"Model C",,"Age 09",,,40,0.0152605663495571,0.123533664843058,"model_age_group",0.123533664843058,0,TRUE
"Model C",,"Age 10",,,40,0.0234655162679681,0.153184582344204,"model_age_group",0.153184582344204,0,TRUE
"Model C",,"Age 11",,,40,0.055559642270144,0.235710929466888,"model_age_group",0.235710929466888,0,TRUE
"Model D",,"Age 01",,,40,0.000124098420708193,0.0111399470693623,"model_age_group",0.0111399470693623,0,TRUE
"Model D",,"Age 02",,,40,6.85723813863314e-05,0.00828084424357393,"model_age_group",0.00828084424357393,0,TRUE
"Model D",,"Age 03",,,40,7.07973181154227e-05,0.00841411422048825,"model_age_group",0.00841411422048825,0,TRUE
"Model D",,"Age 04",,,40,4.36358556544126e-05,0.00660574414085291,"model_age_group",0.00660574414085291,0,TRUE
"Model D",,"Age 05",,,40,2.60342679101717e-05,0.00510237865217505,"model_age_group",0.00510237865217505,0,TRUE
"Model D",,"Age 06",,,40,8.5088484017565e-06,0.00291699304108812,"model_age_group",0.00291699304108812,0,TRUE
"Model D",,"Age 07",,,40,7.70802486671197e-06,0.0027763329891625,"model_age_group",0.0027763329891625,0,TRUE
"Model D",,"Age 08",,,40,4.3239772056675e-06,0.00207941751595669,"model_age_group",0.00207941751595669,0,TRUE
"Model D",,"Age 09",,,40,5.23177629790784e-06,0.002287307652658,"model_age_group",0.002287307652658,0,TRUE
"Model D",,"Age 10",,,40,1.73908091939602e-05,0.00417022891385595,"model_age_group",0.00417022891385595,0,TRUE
"Model D",,"Age 11",,,40,1.11323447855703e-06,0.00105509927426619,"model_age_group",0.00105509927426619,0,TRUE
"Model A",2014,"Age 01","Female","No Formal Education",1,0.00108465904877666,0.0329341623360404,"model_year_age_group_sex_education",0.0329341623360404,0,TRUE
"Model A",2014,"Age 01","Female","Post Secondary",1,3.09072094926907e-05,0.00555942528438783,"model_year_age_group_sex_education",0.00555942528438783,0,TRUE
"Model A",2014,"Age 01","Female","Primary",1,0.000934915183457276,0.0305763827726119,"model_year_age_group_sex_education",0.0305763827726119,0,TRUE
"Model A",2014,"Age 01","Female","Secondary",1,0.000479292526999257,0.0218927505581016,"model_year_age_group_sex_education",0.0218927505581016,0,TRUE
"Model A",2014,"Age 01","Male","No Formal Education",1,0.000850858389205937,0.0291694770128972,"model_year_age_group_sex_education",0.0291694770128972,0,TRUE
"Model A",2014,"Age 01","Male","Post Secondary",1,1.29421834185568e-05,0.00359752462375962,"model_year_age_group_sex_education",0.00359752462375962,0,TRUE
"Model A",2014,"Age 01","Male","Primary",1,0.000149452428191192,0.0122250737499285,"model_year_age_group_sex_education",0.0122250737499285,0,TRUE
"Model A",2014,"Age 01","Male","Secondary",1,0.000270956253148434,0.016460748863537,"model_year_age_group_sex_education",0.016460748863537,0,TRUE
"Model A",2014,"Age 02","Female","No Formal Education",1,0.00219411307203509,0.0468413606979461,"model_year_age_group_sex_education",0.0468413606979461,0,TRUE
"Model A",2014,"Age 02","Female","Post Secondary",1,0.00017499865675437,0.0132287057853129,"model_year_age_group_sex_education",0.0132287057853129,0,TRUE
"Model A",2014,"Age 02","Female","Primary",1,0.000161718061122008,0.012716841633126,"model_year_age_group_sex_education",0.012716841633126,0,TRUE
"Model A",2014,"Age 02","Female","Secondary",1,0.000382593089123555,0.0195599869407818,"model_year_age_group_sex_education",0.0195599869407818,0,TRUE
"Model A",2014,"Age 02","Male","No Formal Education",1,0.00112517872966565,0.0335436839012302,"model_year_age_group_sex_education",0.0335436839012302,0,TRUE
"Model A",2014,"Age 02","Male","Post Secondary",1,3.14260177278778e-07,0.000560589134106948,"model_year_age_group_sex_education",0.000560589134106948,0,TRUE
"Model A",2014,"Age 02","Male","Primary",1,3.94846411138448e-05,0.00628368053881201,"model_year_age_group_sex_education",0.00628368053881201,0,TRUE
"Model A",2014,"Age 02","Male","Secondary",1,0.000324173148018942,0.018004809024784,"model_year_age_group_sex_education",0.018004809024784,0,TRUE
"Model A",2014,"Age 03","Female","No Formal Education",1,0.00271003492704617,0.0520579958032017,"model_year_age_group_sex_education",0.0520579958032017,0,TRUE
"Model A",2014,"Age 03","Female","Post Secondary",1,9.57821500827924e-05,0.00978683555000248,"model_year_age_group_sex_education",0.00978683555000248,0,TRUE
"Model A",2014,"Age 03","Female","Primary",1,0.000545720591142053,0.0233606633283829,"model_year_age_group_sex_education",0.0233606633283829,0,TRUE
