"model","year","age_group","sex","education","n_observations","mse","rmse","grouping","sqrt_mse","diff","within_tolerance"
"Model A",2016,"15-19",,"Secondary",1,1.49210022228853e-10,1.22151554320382e-05,"model_year_age_group_education",1.22151554320382e-05,0,TRUE
"Model A",2016,"20-24",,"No Formal Education",1,1.1739853432815e-05,0.00342634695161115,"model_year_age_group_education",0.00342634695161115,0,TRUE
"Model A",2016,"20-24",,"Post Secondary",1,2.59101897936281e-10,1.60966424429532e-05,"model_year_age_group_education",1.60966424429532e-05,0,TRUE
"Model A",2016,"20-24",,"Primary",1,3.06810580272304e-08,0.000175160092564575,"model_year_age_group_education",0.000175160092564575,0,TRUE
"Model A",2016,"20-24",,"Secondary",1,2.82503928665644e-08,0.000168078531843197,"model_year_age_group_education",0.000168078531843197,0,TRUE
"Model A",2016,"25-29",,"No Formal Education",1,5.70865063863549e-05,0.00755556128863732,"model_year_age_group_education",0.00755556128863732,0,TRUE
"Model A",2016,"25-29",,"Post Secondary",1,5.91823043906381e-08,0.000243274134240856,"model_year_age_group_education",0.000243274134240856,0,TRUE
"Model A",2016,"25-29",,"Primary",1,9.49158834740596e-07,0.000974247830246799,"model_year_age_group_education",0.000974247830246799,0,TRUE
"Model A",2016,"25-29",,"Secondary",1,1.0756928970552e-07,0.000327977575004024,"model_year_age_group_education",0.000327977575004024,0,TRUE
"Model A",2016,"30-34",,"No Formal Education",1,3.54476963598205e-05,0.00595379680202646,"model_year_age_group_education",0.00595379680202646,0,TRUE
"Model A",2016,"30-34",,"Post Secondary",1,4.40372713509981e-07,0.000663605841979997,"model_year_age_group_education",0.000663605841979997,0,TRUE
"Model A",2016,"30-34",,"Primary",1,4.00246941412353e-06,0.00200061725827894,"model_year_age_group_education",0.00200061725827894,0,TRUE
"Model A",2016,"30-34",,"Secondary",1,1.40553498579033e-05,0.00374904652650554,"model_year_age_group_education",0.00374904652650554,0,TRUE
"Model A",2016,"35-39",,"No Formal Education",1,0.0014390568299306,0.0379349025296046,"model_year_age_group_education",0.0379349025296046,0,TRUE
"Model A",2016,"35-39",,"Post Secondary",1,0.00487958990863912,0.069854061504247,"model_year_age_group_education",0.069854061504247,0,TRUE
"Model A",2016,"35-39",,"Primary",1,0.00129829709403634,0.0360318899592617,"model_year_age_group_education",0.0360318899592617,0,TRUE
"Model A",2016,"35-39",,"Secondary",1,0.00325309295415144,0.0570358918064007,"model_year_age_group_education",0.0570358918064007,0,TRUE
"Model A",2016,"40-44",,"No Formal Education",1,0.379695982116561,0.616194759890541,"model_year_age_group_education",0.616194759890541,0,TRUE
"Model A",2016,"40-44",,"Post Secondary",1,0.00375018978386115,0.0612387931287117,"model_year_age_group_education",0.0612387931287117,0,TRUE
"Model A",2016,"40-44",,"Primary",1,0.00116317425279609,0.0341053405318887,"model_year_age_group_education",0.0341053405318887,0,TRUE
"Model A",2016,"40-44",,"Secondary",1,0.0370166914048288,0.19239722296548,"model_year_age_group_education",0.19239722296548,0,TRUE
